source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,astrometric_chi2_al,astrometric_n_good_obs_al,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,abs_g_mag
47541100375011968,65.38495322490863,0.0381581393230639,18.41744468199816,0.02092612659202,20.64269164472822,0.038760335728723,532.5726,110.55526279504096,0.0891723924804398,-32.28391122797374,0.0663231848211665,0.0,0.0,10,1093.2081,365,6.683846,6.9300814,6.3378963,0.592185,5658.7124,1227.3458,928.61255,1.1702766,38.4586786141338,0.3405499638028184,3.257677626170582
3311221224583178368,65.68456777616437,0.0431052929750224,15.056036296455837,0.0280892755284791,20.93938367556897,0.0460171765911402,455.0341,114.1098552238885,0.1134752999208522,-13.946409728258864,0.0816013428287076,0.0,0.0,10,414.17776,183,7.112618,7.252125,6.437585,0.8145399,1564.7627,43.733883,343.2386,1.4380672,,,3.71743747309458
48203487411427456,65.0545500934205,0.0859680484374681,19.23332589281751,0.0348010619145948,21.5991558471216,0.1074294799576623,201.05428,114.52073262181396,0.1986770068186622,-35.47827084534282,0.1112440195764622,0.0,0.0,7,532.741,295,7.3117757,7.6127462,6.891918,0.72082806,4756.4717,1567.0505,1026.5752,1.1828151,38.362153977910666,0.1626945057384917,3.983959590453509
3307992336891315968,69.96283830990222,0.0400688005457823,12.728408624130592,0.0218982041881239,22.889638920273576,0.0492271293786371,464.98016,102.51448409636612,0.0824450219691344,-16.181899099666495,0.0425684867753552,0.0,0.0,14,555.8067,340,9.659127,10.252965,8.961672,1.2912931,2249.5132,664.9295,942.54297,1.2341491,41.408660447653645,0.3378850180091098,6.457321709076172
3307489031146701696,68.36301870809436,0.0444759676841745,13.045388903997113,0.0225652786172729,23.17775121923841,0.0509907124582192,454.5485,110.32170781793612,0.1149826574665911,-21.468773464533697,0.0568522703932334,0.0,0.0,12,950.01984,311,12.2632885,13.513028,11.172904,2.3401241,1385.9314,361.6287,450.1492,1.3948945,40.27169246573413,0.8316999038175552,9.088644985046365
52548241968465408,64.13997593960427,0.0405458081794045,21.907302143121285,0.0225509505295859,19.57077478571847,0.0422891863203546,462.78436,104.83075024963988,0.0933032028479809,-38.40354681250076,0.0709811800573012,0.0,0.0,10,772.71045,412,8.923047,9.349703,8.371102,0.9786005,2997.745,802.4642,1221.2358,1.2032044,38.12216736501637,0.1657982711055165,5.38108709622602
3310702770492165120,64.8344979862436,0.039642092384823,14.31635042216714,0.0258370484070547,20.752886601231143,0.0438259151050634,473.53003,107.99251303390842,0.0999534563723091,-17.78588859614475,0.0699016596652655,0.0,0.0,10,288.71857,171,11.991074,13.0687895,10.975688,2.0931015,4079.791,701.5623,710.0852,1.3570867,38.44631698728643,0.6653472988251273,8.576466564950332
45367056650753280,61.5677309153752,0.0410311847203255,15.698035581492242,0.0211979937780885,21.025661670179822,0.043131996895048,487.47247,118.91204778598131,0.0924763416067413,-19.77565054311868,0.0507771884121304,0.0,1.6970075024191037e-15,11,535.7775,282,7.6933208,8.015052,7.2529035,0.7621484,1584.7759,498.99936,604.9996,1.1842804,37.54540443431114,0.1514717702500898,4.307069158898225
3295883999449691264,70.3702912709412,0.0336593365818921,12.009282821143062,0.0193393557258735,21.1739846463297,0.0423913065661,499.48883,95.02785437409666,0.0691128061636145,-13.956320092164322,0.0366632903134611,0.0,0.0,15,976.2095,390,12.023157,13.14035,10.989732,2.1506186,2327.8813,486.8147,801.5611,1.365569,41.41296317078711,0.3043558537535779,8.65216996914153
3312575685471393664,68.64757642161557,0.048415212623533,15.50450754424306,0.0245090261901287,21.576473558984336,0.0509339012352342,423.61713,100.86662706726388,0.1128420544781453,-26.86063501706364,0.0655416888435419,0.0,0.0,12,454.78824,242,7.7725115,8.110109,7.31696,0.7931495,2388.9863,930.4504,843.5869,1.185342,40.261661567348696,0.1399951998767274,4.442413827076971
